Unnamed: 0,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
GG BSC NURSINGOVT,--,--,--,25877,--,--,12693,--,--,--,--,--,--,--,--,19660,--,--,134278,--,--,--,--,2995
GG BSC NURSINGOVT,--,--,--,28738,--,--,--,--,--,--,15603,--,31423,--,--,18886,41458,--,141918,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,50221,--,--,--,--,--,14270,--,--,43046,--,--,40499,--,--,146532,--,52303,--,--,--
GG BSC NURSINGOVT,145541,--,--,--,--,--,--,--,--,--,--,--,47161,--,--,31064,50025,3938,149153,--,--,--,--,5928
GG BSC NURSINGOVT,--,--,--,15108,--,--,--,--,--,11361,--,--,97515,--,--,97278,--,--,12031,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,50475,--,--,--,--,--,--,--,--,46908,--,--,41931,43528,--,14468,155104,--,--,--,--
GG BSC NURSINGOVT,138684,--,--,36889,--,13764,--,--,--,--,--,--,--,--,--,26918,33688,3064,14253,--,--,37694,--,--
GG BSC NURSINGOVT,--,44767,--,44729,--,--,--,--,--,--,--,--,--,--,--,34340,--,--,14922,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,44538,--,--,15345,--,--,--,--,--,--,--,--,34611,--,4152,14069,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,52444,--,15265,15120,--,--,14654,--,--,--,--,--,44049,44318,4476,14806,--,49668,--,--,--
GG BSC NURSINGOVT,--,--,--,44162,--,--,--,--,--,15561,--,--,27597,--,--,26340,--,--,14930,--,51436,--,--,--
GG BSC NURSINGOVT,--,--,--,48496,--,--,--,--,--,--,--,--,--,--,--,30304,--,--,13474,--,--,53992,--,--
GG BSC NURSINGOVT,36407,--,--,41586,42915,44587,41976,--,--,44400,--,45831,36497,41836,42757,31593,34393,36296,49454,52957,57239,47896,--,51513
GG BSC NURSINGOVT,--,--,--,89619,--,--,--,--,--,12218,--,--,--,--,--,72987,--,76757,95804,--,--,01738,11309,--
GG BSC NURSINGOVT,139905,--,--,43172,--,--,--,--,--,--,--,--,15070,--,--,02647,--,--,13038,--,--,16218,--,--
GG BSC NURSINGOVT,--,--,--,50956,--,--,--,--,--,--,15890,--,--,--,--,44237,45356,5127,15107,--,--,--,--,--
GG BSC NURSINGOVT,15221,--,--,50959,--,--,--,--,--,--,--,--,--,--,--,46386,48802,52279,5273,--,--,56158,--,--
GG BSC NURSINGOVT,--,--,--,--,46531,5382,--,--,--,15708,--,--,--,--,--,12336,--,27931,5175,--,--,--,--,--
GG BSC NURSINGOVT,--,--,--,49320,--,5595,15768,--,--,--,--,--,--,--,47720,39086,--,44586,5283,--,--,--,--,--
GG BSC NURSINGOVT,--,--,154607,54190,--,--,--,--,--,--,--,--,14806,--,--,45854,--,52075,5221,--,--,57244,--,--
GG BSC NURSINGOVT,--,--,--,53058,--,--,--,--,--,14552,--,--,--,--,--,36658,--,--,5125,--,--,--,--,--
GG BSC NURSINGOVT,15560,--,--,54957,--,--,16212,--,--,--,--,--,15412,--,--,52845,--,55754,5301,--,--,--,--,--
GG BSC NURSINGOVT,14750,--,--,51933,--,5682,15713,--,--,--,--,--,--,--,--,43580,--,44772,4602,--,--,--,--,--
